COMMUNITY AREA NAME,TRANSIT SCORE,,,,,
"Little Italy, UIC",72,,,,,
"Sauganash,Forest Glen",41,,,,,
Albany Park,62,,,,,
Andersonville,72,,,,,
Archer Heights,57,,,,,
Armour Square,76,,,,,
Ashburn,56,,,,,
Auburn Gresham,,,,,,
Austin,65,,,,,
Avalon Park,63,,,,,
Avondale,68,,,,,
Belmont Cragin,59,,,,,
Beverly,50,,,,,
Boystown,79,,,,,
Bridgeport,61,,,,,
Brighton Park,60,,,,,
Bucktown,73,,,,,
Burnside,66,,,,,
Calumet Heights,58,,,,,
Chatham,67,,,,,
CHICAGO,,,,,,
Chicago Lawn,58,,,,,
Chinatown,,,,,,
Clearing,42,,,,,
Douglas,,,,,,
Dunning,53,,,,,
East Garfield Park,73,,,,,
East Side,38,,,,,
East Village,,,,,,
Edgewater,72,,,,,
Edison Park,46,,,,,
Englewood,68,,,,,
Forest Glen,,,,,,
Fuller Park,,,,,,
Gage Park,60,,,,,
Galewood,57,,,,,
Garfield Park,73,,,,,
Garfield Ridge,45,,,,,
Gold Coast,99,,,,,
Grand Boulevard,,,,,,
Grand Crossing,66,,,,,
Grant Park,100,,,,,
Greater Grand Crossing,,,,,,
Greektown,,,,,,
Hegewisch,34,,,,,
Hermosa,59,,,,,
Humboldt Park,67,,,,,
Hyde Park,66,,,,,
Irving Park,66,,,,,
Jackson Park,,,,,,
Jefferson Park,64,,,,,
Kenwood,66,,,,,
Lake View,79,,,,,
Lincoln Park,79,,,,,
Lincoln Square,60,,,,,
Little Village,62,,,,,
Logan Square,68,,,,,
Loop,99,,,,,
Lower West Side,,,,,,
Magnificent Mile,99,,,,,
McKinley Park,64,,,,,
Millenium Park,99,,,,,
Montclare,58,,,,,
Morgan Park,50,,,,,
Mount Greenwood,43,,,,,
Museum Campus,99,,,,,
Near North Side,90,,,,,
Near South Side,,,,,,
Near West Side,82,,,,,
New City,,,,,,
North Center,66,,,,,
North Lawndale,,,,,,
North Park,54,,,,,
Norwood Park,51,,,,,
O'Hare,51,,,,,
Oakland,,,,,,
Old Town,99,,,,,
Portage Park,59,,,,,
Printers Row,99,,,,,
Pullman,62,,,,,
River North,99,,,,,
Riverdale,,,,,,
Rogers Park,74,,,,,
Roseland,62,,,,,
Rush & Division,,,,,,
Sheffield & DePaul,,,,,,
South Chicago,63,,,,,
South Deering,51,,,,,
South Lawndale,,,,,,
South Shore,68,,,,,
Streeterville,99,,,,,
Ukrainian Village,70,,,,,
United Center,,,,,,
Uptown,79,,,,,
Washington Height,58,,,,,
Washington Heights,58,,,,,
Washington Park,76,,,,,
West Elsdon,62,,,,,
West Englewood,66,,,,,
West Garfield Park,70,,,,,
West Lawn,57,,,,,
West Loop,100,,,,,
West Pullman,55,,,,,
West Ridge,56,,,,,
West Town,75,,,,,
Wicker Park,75,,,,,
Woodlawn,73,,,,,
Wrigleyville,79,,,,,
